"Method","Path","OperationId","Summary","Parameters"
"GET","/device/devices/{deviceId}/devicedatasources","getDeviceDatasourceList","Get device datasource list","deviceId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/collectors/upgradeHistory","getCollectorUpgradeHistory","get collector upgrade history list",""
"GET","/device/groups/{id}/devices","getImmediateDeviceListByDeviceGroupId","get immediate devices under group","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{instanceId}/config","getDeviceConfigSourceConfigList","get detailed config information for the instance","instanceId:path:required, deviceId:path:required, hdsId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices","getDeviceList","Get device list","end:query:optional, netflowFilter:query:optional, start:query:optional, includeDeletedResources:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/alert/alerts/{id}","getAlertById","get alert","id:path:required, needMessage:query:optional, customColumns:query:optional, fields:query:optional"
"GET","/device/devices/{id}/alerts","getAlertListByDeviceId","get alerts","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, needMessage:query:optional, customColumns:query:optional, bound:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/alert/alerts","getAlertList","Get alert list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/propertyrules/{id}","getPropertyRulesById","Get property rules by id","id:path:required, format:query:optional"
"GET","/setting/action/chains","getActionChainsList","Get action chains list",""
"GET","/setting/accessgroup/{id}","getAccessGroupById","Get access group by id","id:path:required, fields:query:optional"
"GET","/website/websites/{id}/historysdts","getSDTHistoryByWebsiteId","get SDT history for the website (Response may contain extra fields depending upon the type of SDT)","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/datasources/{dsId}/ographs","getDataSourceOverviewGraphList","Get datasource overview graph list","dsId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/logpipelines/processors/{processorId}","getLogAlertsById","Retrieve a LogAlerts by ID","processorId:path:required"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{instanceId}/config/{id}","getDeviceConfigSourceConfigById","get a config for a device","instanceId:path:required, deviceId:path:required, hdsId:path:required, id:path:required, format:query:optional, startEpoch:query:optional, fields:query:optional"
"GET","/device/groups/{deviceGroupId}/datasources","getDeviceGroupDatasourceList","get device group datasource list","deviceGroupId:path:required, includeDisabledDataSourceWithoutInstance:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/accesslogs/{id}","getAuditLogById","Get audit log by id","id:path:required"
"GET","/device/devices/{deviceId}/devicedatasources/{deviceDsId}/groups","getDeviceDatasourceInstanceGroupList","Get device datasource instance group list","deviceDsId:path:required, deviceId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/alert/chains","getEscalationChainList","Get escalation chain list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/functions/{id}","getAppliesToFunctionById","Get applies to function by ID","id:path:required"
"GET","/device/devices/delta","getDeltaIdWithDevices","Get filter matched devices with new deltaId","deltaId:query:optional"
"GET","/aws/externalId","getAwsExternalId","Get AWS external ID",""
"GET","/report/reports","getReportList","Get report list","showNextGenReports:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{instanceId}/alertsettings","getDeviceDatasourceInstanceAlertSettingListOfDSI","get a list of alert settings for a device datasource instance","deviceId:path:required, hdsId:path:required, instanceId:path:required, size:query:optional, offset:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{hdsId}/instances/{id}/graphs/{graphId}/data","getDeviceDatasourceInstanceGraphData","get device instance graph data","deviceId:path:required, hdsId:path:required, id:path:required, start:query:optional, end:query:optional, graphId:path:required, format:query:optional"
"GET","/setting/batchjobs/{id}","getJobMonitorById","Get JobMonitor by ID","id:path:required, format:query:optional"
"GET","/setting/integrations/auditlogs","getIntegrationAuditLogs","Get integration audit logs list","format:query:optional"
"GET","/setting/roles/{id}","getRoleById","Get role by ID","id:path:required, fields:query:optional"
"GET","/setting/netscans","getNetscanList","Get netscan list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
